env,method,seed,ckpt,fqe_return
hopper-medium-replay-v2,bc,0,bc_hopper_medium_replay_v2_seed0.pt,96.679909
hopper-medium-replay-v2,bc,1,bc_hopper_medium_replay_v2_seed1.pt,105.013847
hopper-medium-replay-v2,bc,2,bc_hopper_medium_replay_v2_seed2.pt,95.149452
walker2d-medium-v2,bc,0,bc_walker2d_medium_v2_seed0.pt,285.606842
walker2d-medium-v2,bc,1,bc_walker2d_medium_v2_seed1.pt,276.939484
walker2d-medium-v2,bc,2,bc_walker2d_medium_v2_seed2.pt,269.066772
hopper-medium-replay-v2,iql,0,iql_hopper_medium_replay_v2_seed0.pt,122.461052
hopper-medium-replay-v2,iql,1,iql_hopper_medium_replay_v2_seed1.pt,145.975250
hopper-medium-replay-v2,iql,2,iql_hopper_medium_replay_v2_seed2.pt,101.857887
hopper-medium-replay-v2,iql_u,0,iql_u_hopper_medium_replay_v2_seed0.pt,109.451286
hopper-medium-replay-v2,iql_u,1,iql_u_hopper_medium_replay_v2_seed1.pt,115.290726
hopper-medium-replay-v2,iql_u,2,iql_u_hopper_medium_replay_v2_seed2.pt,144.137985
walker2d-medium-v2,iql_u,0,iql_u_walker2d_medium_v2_seed0.pt,285.755585
walker2d-medium-v2,iql_u,1,iql_u_walker2d_medium_v2_seed1.pt,311.444916
walker2d-medium-v2,iql_u,2,iql_u_walker2d_medium_v2_seed2.pt,248.489777
walker2d-medium-v2,iql,0,iql_walker2d_medium_v2_seed0.pt,336.676971
walker2d-medium-v2,iql,1,iql_walker2d_medium_v2_seed1.pt,276.983551
walker2d-medium-v2,iql,2,iql_walker2d_medium_v2_seed2.pt,319.891815
hopper-medium-replay-v2,td3bc_u,0,td3bc_u_hopper_medium_replay_v2_seed0.pt,96.315788
hopper-medium-replay-v2,td3bc_u,1,td3bc_u_hopper_medium_replay_v2_seed1.pt,102.589470
hopper-medium-replay-v2,td3bc_u,2,td3bc_u_hopper_medium_replay_v2_seed2.pt,114.368477
walker2d-medium-v2,td3bc_u,0,td3bc_u_walker2d_medium_v2_seed0.pt,305.798157
walker2d-medium-v2,td3bc_u,1,td3bc_u_walker2d_medium_v2_seed1.pt,238.797394
walker2d-medium-v2,td3bc_u,2,td3bc_u_walker2d_medium_v2_seed2.pt,333.868866
